date,temperature_2m,relative_humidity_2m,solar_radiation,wind_speed_10m
2014-01-01,22.96,89.24,3.3245,2.75
2014-01-02,23.71,89.08,4.422,3.34
2014-01-03,22.95,87.23,4.1117,2.86
2014-01-04,22.69,86.6,5.2817,2.27
2014-01-05,23.2,88.15,5.1994,2.98
2014-01-06,22.7,89.3,4.4172,2.81
2014-01-07,21.8,90.59,2.095,2.83
2014-01-08,22.56,91.2,2.7842,3.03
2014-01-09,22.37,92.45,2.2541,4.31
2014-01-10,21.87,93.68,1.8221,4.78
2014-01-11,21.84,94.52,1.6534,4.72
2014-01-12,22.33,94.87,1.9644,5.71
2014-01-13,22.99,91.48,2.7074,5.0
2014-01-14,23.27,92.88,1.428,4.44
2014-01-15,22.12,95.63,2.6342,4.35
2014-01-16,21.98,94.61,2.9095,3.87
2014-01-17,22.29,97.09,2.2526,6.85
2014-01-18,22.95,95.11,2.2963,4.68
2014-01-19,21.89,95.76,0.5614,4.33
2014-01-20,21.88,94.94,0.3838,3.6
2014-01-21,22.1,95.18,2.9846,2.6
2014-01-22,22.29,92.27,2.8022,2.89
2014-01-23,21.37,95.88,3.6862,3.67
2014-01-24,20.69,92.14,3.9974,3.94
2014-01-25,20.12,87.29,5.4096,2.99
2014-01-26,20.1,86.82,5.2212,2.18
2014-01-27,20.92,88.63,2.7708,3.14
2014-01-28,20.94,86.74,5.6854,2.54
2014-01-29,20.88,88.4,4.0135,3.59
2014-01-30,21.24,89.87,3.9698,3.83
2014-01-31,21.27,95.04,2.6131,3.72
2014-02-01,23.31,88.82,5.3364,2.23
2014-02-02,23.18,83.07,5.2598,1.4
2014-02-03,23.73,81.0,6.1046,1.3
2014-02-04,23.24,83.76,5.8637,2.14
2014-02-05,23.31,86.37,5.1168,3.11
2014-02-06,22.98,86.19,5.8879,3.25
2014-02-07,22.12,92.18,2.3546,3.3
2014-02-08,23.21,92.22,3.4644,2.8
2014-02-09,22.77,91.71,3.0497,2.92
2014-02-10,23.55,88.56,2.4749,2.14
2014-02-11,22.94,89.72,4.0853,2.69
2014-02-12,22.18,90.61,4.5535,3.22
2014-02-13,22.15,91.59,3.259,2.88
2014-02-14,21.8,92.01,3.6782,3.24
2014-02-15,21.74,88.61,3.2064,3.26
2014-02-16,21.74,87.84,4.4256,3.46
2014-02-17,21.95,87.54,4.4354,3.14
2014-02-18,21.24,86.43,6.1414,2.77
2014-02-19,21.03,83.8,6.2758,2.36
2014-02-20,20.36,86.86,6.0139,2.65
2014-02-21,20.68,84.27,4.3025,3.21
2014-02-22,21.11,85.54,6.3552,3.21
2014-02-23,21.22,85.28,4.2055,3.78
2014-02-24,21.17,85.19,6.0593,3.24
2014-02-25,21.68,86.37,6.024,2.73
2014-02-26,22.58,87.1,5.0851,2.8
2014-02-27,22.95,86.36,5.5416,3.17
2014-02-28,22.69,86.43,5.8781,2.98
2014-03-01,22.84,87.64,6.5971,2.66
2014-03-02,22.76,82.03,7.0805,2.03
2014-03-03,22.79,84.49,5.4204,2.12
2014-03-04,22.45,85.55,6.0732,2.68
2014-03-05,21.71,84.74,6.6854,2.62
2014-03-06,21.46,85.37,5.3474,3.07
2014-03-07,21.49,83.27,6.1253,3.02
2014-03-08,21.89,84.34,6.239,3.23
2014-03-09,21.87,85.05,6.4025,2.9
2014-03-10,21.91,85.01,5.6525,3.29
2014-03-11,22.29,89.38,4.0094,3.9
2014-03-12,24.32,87.02,4.2091,4.26
2014-03-13,24.39,86.64,3.8659,2.94
2014-03-14,23.71,86.81,5.2771,3.07
2014-03-15,23.42,85.7,5.3693,3.72
2014-03-16,22.85,84.6,5.8973,4.04
2014-03-17,23.05,87.27,2.7238,4.01
2014-03-18,22.92,88.47,4.849,3.29
2014-03-19,23.22,90.08,2.5013,2.87
2014-03-20,22.86,90.23,3.5796,3.3
2014-03-21,22.81,96.57,2.3724,4.18
2014-03-22,22.96,94.24,3.179,3.07
2014-03-23,23.11,91.9,4.8888,1.69
2014-03-24,23.18,88.36,5.3117,2.61
2014-03-25,23.82,86.45,5.0189,2.98
2014-03-26,24.05,83.8,5.953,2.93
2014-03-27,23.98,86.59,5.4427,2.84
2014-03-28,23.78,83.89,6.5678,2.91
2014-03-29,24.38,84.51,5.4439,2.42
2014-03-30,24.16,86.43,4.7146,2.27
2014-03-31,24.14,82.57,6.6967,2.32
2014-04-01,24.01,83.28,6.8448,2.08
2014-04-02,23.47,82.36,6.7567,2.53
2014-04-03,23.42,83.52,6.9434,2.57
2014-04-04,23.62,84.75,6.186,2.86
2014-04-05,23.48,82.32,6.9826,3.05
2014-04-06,23.64,85.3,5.7538,2.97
2014-04-07,23.12,85.99,5.0712,2.79
2014-04-08,22.22,89.25,3.5686,1.93
2014-04-09,22.22,91.85,4.7208,2.54
2014-04-10,22.89,89.04,4.5252,2.38
